,trans_date_trans_time,category,amt,city,state,lat,long,city_pop,dob,merch_lat,merch_long,gender
28486,2019-03-24 03:55:28,grocery_net,45.37,Redford,MO,37.3272,-91.0243,241,1974-10-27,37.272177,-90.473897,
25832,2019-03-17 18:10:58,kids_pets,24.14,Oakland,CA,37.7878,-122.1884,381459,1974-01-03,37.113808,-121.256825,
321525,2020-12-10 01:16:19,grocery_pos,226.6,Newhall,CA,34.3795,-118.523,34882,1971-04-25,35.119207,-118.238656,F
299040,2020-10-27 12:02:48,kids_pets,85.04,Independence,MO,39.1412,-94.3515,123373,1992-11-27,39.992638,-95.011991,F
318359,2020-12-06 18:18:03,entertainment,269.65,Vinton,CA,40.0235,-120.7986,128,1966-02-21,40.911378000000006,-120.519192,M
13347,2019-02-12 05:42:12,grocery_net,42.98,Meadville,MO,39.7795,-93.3014,964,1974-12-23,39.71793,-93.897237,
295845,2020-10-19 21:10:32,entertainment,91.6,Laramie,WY,41.4247,-105.4781,35371,1988-09-02,40.50121,-106.343074,F
265718,2020-08-13 04:26:39,grocery_net,54.19,Espanola,NM,35.9866,-106.0654,18408,1972-07-18,35.992740999999995,-105.62471200000002,M
303847,2020-11-08 18:39:50,shopping_pos,7.3,Phoenix,AZ,33.5623,-112.0559,1312922,1981-10-24,34.26113,-112.789041,F
158340,2019-12-17 17:01:09,health_fitness,51.18,Cascade Locks,OR,45.67100000000001,-121.8686,1288,1936-05-01,46.322658,-122.847433,
196256,2020-03-19 20:46:52,shopping_net,8.88,Sutherland,NE,41.1558,-101.136,1789,1982-02-11,40.56962,-101.631595,
14958,2019-02-17 18:30:15,home,26.8,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,1967-05-27,38.970629,-120.245317,
176725,2020-01-22 19:42:49,personal_care,91.91,Wendel,CA,40.3406,-120.2824,104,1989-08-16,41.131373,-120.069389,
288169,2020-10-01 11:18:33,misc_pos,43.02,Fort Washakie,WY,43.0048,-108.8964,1645,1976-02-26,42.724409,-108.345808,M
282415,2020-09-17 19:34:44,shopping_pos,1.03,Paauilo,HI,20.0271,-155.3697,1490,1991-04-13,19.633844,-156.27993,F
283277,2020-09-20 05:15:56,gas_transport,77.81,Rocky Mount,MO,38.2911,-92.7059,1847,1988-10-26,38.410185,-92.625127,F
238044,2020-06-21 22:00:34,entertainment,16.49,Daly City,CA,37.6787,-122.478,107941,1991-10-04,36.73464,-122.079128,F
16022,2019-02-20 19:23:31,shopping_pos,3.1,Newhall,CA,34.3795,-118.523,34882,1971-04-25,33.865327,-118.512147,
83284,2019-07-20 13:17:27,health_fitness,31.2,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,41.37913,-124.597034,
259442,2020-08-02 00:29:36,misc_pos,5.87,Camden,MO,39.2048,-94.0259,464,1959-05-28,39.500013,-93.043633,M
110005,2019-09-11 00:35:47,misc_pos,793.81,Matthews,MO,36.7154,-89.6287,1019,1979-01-26,37.437569,-90.269994,
132604,2019-11-03 22:40:18,personal_care,61.88,Grenada,CA,41.6125,-122.5258,589,1945-12-21,40.843815,-121.983258,
18896,2019-03-01 11:01:18,grocery_pos,225.11,Meridian,ID,43.6498,-116.4306,84106,1971-02-11,44.268739,-116.361038,
155519,2019-12-14 20:24:04,home,63.28,Port Costa,CA,38.046,-122.1866,198,1959-03-31,38.181876,-123.001794,
145023,2019-12-01 20:06:01,food_dining,24.96,Omaha,NE,41.2064,-95.9953,518429,1995-10-10,41.996791,-95.772997,
149480,2019-12-07 16:09:24,personal_care,146.76,Orient,WA,48.8878,-118.2105,149,1978-06-21,49.774221,-117.776275,
106479,2019-09-02 12:23:18,food_dining,27.26,Phoenix,AZ,33.5623,-112.0559,1312922,1981-10-24,33.238115,-112.053665,
273301,2020-08-28 14:32:00,shopping_pos,3.45,Mountain Center,CA,33.6401,-116.5567,1661,1988-09-19,34.239026,-115.825315,F
131500,2019-11-01 21:32:06,misc_pos,9.51,Riverton,WY,43.0351,-108.2024,19408,1993-09-11,43.1004,-108.493723,
221108,2020-05-19 06:18:27,gas_transport,51.84,Ashford,WA,46.7531,-121.9898,759,1956-09-14,47.168144,-122.794689,
299190,2020-10-27 17:33:49,food_dining,32.38,Independence,MO,39.1412,-94.3515,123373,1992-11-27,38.646564,-93.905543,F
229479,2020-06-05 12:35:14,food_dining,86.12,Vancouver,WA,45.6892,-122.6616,299480,1985-01-02,44.891576,-122.12121,
113182,2019-09-18 12:08:48,home,13.11,Mound City,MO,40.1362,-95.2138,1631,1953-01-20,40.473671,-96.127846,
97980,2019-08-17 17:02:15,personal_care,70.49,Kissee Mills,MO,36.6704,-93.0377,1201,1980-03-18,36.943356,-93.209081,
163907,2019-12-24 09:25:48,grocery_net,85.5,Kansas City,MO,38.9621,-94.5959,545147,1987-11-18,38.111242,-94.856995,
201887,2020-04-02 06:26:23,grocery_pos,61.0,Moriarty,NM,34.9889,-106.0609,7268,1988-08-04,34.411134999999994,-106.462094,
266125,2020-08-14 05:08:51,misc_net,4.24,Brainard,NE,41.1832,-96.9882,614,1967-06-20,40.791684,-97.331297,M
180206,2020-02-02 18:00:35,personal_care,40.95,Altonah,UT,40.3207,-110.436,302,1990-01-17,39.995151,-110.973544,
53407,2019-05-23 02:09:05,grocery_pos,350.77,Smith River,CA,41.9404,-124.1587,1930,1983-06-13,42.607731,-124.663858,
132279,2019-11-03 11:37:24,gas_transport,73.27,Hooper,NE,41.6414,-96.5232,1745,1973-12-26,42.074014,-95.874514,
141892,2019-11-26 04:47:17,misc_net,7.1,Espanola,NM,35.9866,-106.0654,18408,1972-07-18,35.761911,-106.575016,
98378,2019-08-18 07:17:57,misc_net,97.69,Sun City,CA,33.7467,-117.1721,54287,1972-09-22,33.614940000000004,-117.174212,
292470,2020-10-12 01:27:17,grocery_pos,49.88,Moriarty,NM,34.9889,-106.0609,7268,1988-08-04,34.425047,-105.264434,M
12387,2019-02-09 21:46:23,food_dining,96.03,Sutherland,NE,41.1558,-101.136,1789,1982-02-11,40.551063,-101.480083,
117969,2019-09-29 20:07:53,kids_pets,148.78,Vinton,CA,40.0235,-120.7986,128,1966-02-21,39.268793,-120.472482,
48055,2019-05-10 11:43:48,shopping_net,3.15,Holstein,NE,40.4542,-98.6538,331,1950-08-19,40.372215,-98.95501,
30899,2019-03-30 03:59:07,grocery_pos,97.17,North Loup,NE,41.4972,-98.7858,509,1980-09-15,42.014584,-98.807302,
295759,2020-10-19 17:58:32,kids_pets,19.51,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,1967-05-27,39.598685,-120.177274,F
258051,2020-07-29 13:29:53,health_fitness,22.85,Freedom,WY,43.0172,-111.0292,471,1967-08-02,42.696566,-110.765552,M
109821,2019-09-10 11:14:06,grocery_pos,55.22,Oakland,CA,37.7878,-122.1884,381459,1974-01-03,37.167263,-122.035217,
247091,2020-07-08 21:58:43,personal_care,38.57,Campbell,NE,40.2967,-98.737,493,1940-09-13,39.897902,-98.560324,F
298010,2020-10-25 14:55:06,travel,2.77,Sutherland,NE,41.1558,-101.136,1789,1982-02-11,40.828834,-101.283241,F
58074,2019-06-01 14:23:08,food_dining,10.11,Westerville,NE,41.4193,-99.3844,73,1935-02-10,41.983244,-100.193897,
329144,2020-12-19 18:49:03,kids_pets,17.65,Cardwell,MO,36.0434,-90.2907,1120,1957-04-17,35.970977000000005,-90.02470500000001,M
304214,2020-11-09 10:41:35,gas_transport,56.57,Grenada,CA,41.6125,-122.5258,589,1945-12-21,41.384472,-122.252429,
287527,2020-09-29 15:25:58,misc_pos,1.07,Smith River,CA,41.9404,-124.1587,1930,1983-06-13,41.115311,-124.126346,F
43607,2019-04-29 04:59:10,gas_transport,66.02,Greenview,CA,41.5403,-122.9366,308,1958-09-20,41.55614,-123.50273,
201244,2020-03-31 14:38:16,shopping_pos,137.68,Lonetree,WY,41.0552,-110.1603,49,1981-07-05,41.349836,-109.739203,
200307,2020-03-29 21:46:23,personal_care,23.21,June Lake,CA,37.7773,-119.0825,633,1927-09-09,38.257759,-119.6819,
151145,2019-12-09 03:03:12,misc_pos,6.68,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,40.68177,-124.950065,
315955,2020-12-03 14:11:36,shopping_pos,2.39,Rocky Mount,MO,38.2911,-92.7059,1847,1988-10-26,37.329218,-92.135479,F
115535,2019-09-23 16:33:09,travel,8.65,Fields Landing,CA,40.7268,-124.2174,276,1929-05-06,40.637493,-124.039845,
84570,2019-07-22 12:31:03,entertainment,64.9,Altonah,UT,40.3207,-110.436,302,1990-01-17,40.87871,-110.337023,
94856,2019-08-11 13:48:02,entertainment,17.16,Red River,NM,36.6659,-105.4694,606,1988-09-06,35.746572,-104.991005,
305906,2020-11-13 16:40:04,health_fitness,47.42,Browning,MO,40.029,-93.1607,602,1954-07-14,39.618001,-93.174809,F
209753,2020-04-21 07:43:51,shopping_pos,7.88,Campbell,NE,40.2967,-98.737,493,1940-09-13,40.388171,-99.095406,
107989,2019-09-06 19:47:55,travel,8.05,Scotts Mills,OR,44.9897,-122.6187,1252,1937-02-06,45.347098,-121.799975,
295447,2020-10-19 04:39:47,shopping_pos,128.39,Portland,OR,45.5303,-122.7033,841711,1963-04-04,44.623065,-121.9935,M
109841,2019-09-10 13:23:13,misc_pos,4.82,Wheaton,MO,36.7651,-94.0492,760,1985-08-31,36.443206,-94.118294,
308598,2020-11-19 18:16:13,food_dining,120.73,Grenada,CA,41.6125,-122.5258,589,1945-12-21,41.394131,-123.488731,M
231791,2020-06-09 11:34:10,misc_net,7.89,Lowell,OR,43.92100000000001,-122.7806,1420,1965-11-11,44.590152,-122.145551,
7096,2019-01-23 00:55:59,grocery_net,28.08,Sun City,CA,33.7467,-117.1721,54287,1972-09-22,33.60651,-116.735405,
235374,2020-06-16 08:18:17,shopping_pos,9.43,Tomales,CA,38.2427,-122.9145,337,1954-07-05,37.502626,-123.75027,
261044,2020-08-04 10:41:53,misc_pos,22.21,Clarksville,MO,39.3465,-90.9362,1146,1929-04-07,39.872363,-90.281272,F
232809,2020-06-11 15:29:36,personal_care,139.55,Valentine,NE,42.8062,-100.6215,4005,1945-03-15,43.275195,-99.750897,
180652,2020-02-03 18:31:51,shopping_net,67.77,Newhall,CA,34.3795,-118.523,34882,1971-04-25,34.927175,-117.674462,
229606,2020-06-05 17:07:43,personal_care,37.04,Newhall,CA,34.3795,-118.523,34882,1971-04-25,34.405306,-118.772584,
328418,2020-12-18 18:30:38,shopping_pos,2.56,Mountain Center,CA,33.6401,-116.5567,1661,1988-09-19,33.448076,-115.608086,F
286772,2020-09-28 08:00:59,grocery_pos,117.36,Luray,MO,40.4931,-91.8912,519,1966-02-13,39.833475,-91.000646,M
325553,2020-12-14 22:29:50,shopping_net,59.45,Issaquah,WA,47.4974,-122.0107,50489,1984-02-29,47.758254,-122.642214,F
104176,2019-08-29 12:53:31,home,69.69,Red Cliff,CO,39.4584,-106.3851,277,1985-04-03,39.327599,-107.051946,
40610,2019-04-21 22:24:51,food_dining,4.48,Glendale,CA,34.1556,-118.2322,172817,1982-07-30,33.514376,-118.514856,
80326,2019-07-14 11:25:51,grocery_pos,113.06,Mesa,ID,44.6255,-116.4493,129,1965-12-15,45.291404,-116.595146,
225969,2020-05-29 19:27:56,shopping_net,2.3,Matthews,MO,36.7154,-89.6287,1019,1979-01-26,36.376371,-90.354427,
333768,2020-12-24 22:01:50,personal_care,25.22,Laramie,WY,41.4247,-105.4781,35371,1988-09-02,41.413547,-104.51714,
76586,2019-07-07 10:51:45,misc_pos,379.29,Littleton,CO,39.5994,-105.0044,320420,1975-07-31,38.909849,-104.076892,
214485,2020-05-03 11:01:36,gas_transport,72.9,Arnold,MO,38.4305,-90.387,35439,1985-03-31,37.739586,-89.930036,
14441,2019-02-16 04:17:50,grocery_pos,169.5,Sun City,CA,33.7467,-117.1721,54287,1972-09-22,33.897456,-117.97268400000002,
117606,2019-09-29 06:21:01,gas_transport,71.67,Dumont,CO,39.7532,-105.6356,565,1978-08-27,39.143308000000005,-104.649573,
17870,2019-02-26 17:06:52,kids_pets,101.54,Meredith,CO,39.3199,-106.6596,61,1939-11-04,39.475599,-106.839523,
131435,2019-11-01 18:01:17,travel,4.53,Kirk,CO,39.6171,-102.4776,207,1955-12-04,38.85909,-101.920534,
151303,2019-12-09 06:56:08,gas_transport,39.76,Rocky Mount,MO,38.2911,-92.7059,1847,1988-10-26,38.461608,-92.77506,
299256,2020-10-27 20:32:57,personal_care,15.72,Carlotta,CA,40.507,-123.9743,1139,1951-01-15,40.672663,-123.696941,F
338289,2020-12-29 21:49:34,home,23.14,Sutherland,NE,41.1558,-101.136,1789,1982-02-11,41.684838,-101.268369,F
129723,2019-10-28 02:25:58,entertainment,175.39,Indian Wells,CA,33.7163,-116.3381,4677,1955-05-06,34.452441,-116.022688,
104574,2019-08-30 09:36:25,grocery_pos,113.39,Kissee Mills,MO,36.6704,-93.0377,1201,1980-03-18,37.485455,-92.676325,
167116,2019-12-28 21:20:37,personal_care,1.29,Pueblo,CO,38.2352,-104.66,151815,1988-01-04,37.562077,-104.020549,
305260,2020-11-11 12:53:40,entertainment,139.94,Independence,MO,39.1412,-94.3515,123373,1992-11-27,38.231277,-93.773809,F
206304,2020-04-13 10:25:54,misc_net,1.94,Meridian,ID,43.6498,-116.4306,84106,1971-02-11,44.147506,-115.738554,
243908,2020-07-03 01:00:39,grocery_pos,109.59,Mendon,UT,41.71,-111.9817,2078,1963-06-13,40.821821,-111.290296,F
42070,2019-04-25 20:31:44,home,115.69,Syracuse,MO,38.6547,-92.8929,628,1961-12-18,38.643993,-92.556987,
261013,2020-08-04 09:34:06,grocery_net,42.45,Tomales,CA,38.2427,-122.9145,337,1954-07-05,38.921052,-123.532944,F
194394,2020-03-15 21:42:24,travel,6.45,Grenada,CA,41.6125,-122.5258,589,1945-12-21,40.859377,-122.685586,
283070,2020-09-19 17:04:12,kids_pets,125.43,Burlington,WA,48.4786,-122.3345,14871,1974-03-10,48.562104,-122.638238,F
293988,2020-10-15 13:19:15,shopping_pos,5.93,North Loup,NE,41.4972,-98.7858,509,1980-09-15,41.449907,-99.773765,F
259244,2020-08-01 15:33:57,kids_pets,52.94,Arvada,CO,39.8422,-105.1097,122111,1987-05-23,39.440258,-104.922395,M
216255,2020-05-07 10:39:23,gas_transport,80.99,Arvada,CO,39.8422,-105.1097,122111,1987-05-23,39.408988,-104.471644,
4338,2019-01-14 17:42:18,shopping_pos,22.92,Burbank,WA,46.1966,-118.9017,3684,1981-11-29,45.440764,-119.241074,
110195,2019-09-11 17:41:23,shopping_net,11.51,Hooper,NE,41.6414,-96.5232,1745,1973-12-26,40.841863,-96.240574,
116112,2019-09-25 09:02:49,misc_net,7.54,Hawthorne,CA,33.9143,-118.3493,93193,1995-04-19,33.461919,-118.045614,
193834,2020-03-14 16:38:41,personal_care,11.39,Norwalk,CA,33.9056,-118.0818,105549,1973-09-22,33.577911,-118.157635,
203953,2020-04-07 05:20:34,grocery_net,94.07,Littleton,CO,39.5994,-105.0044,320420,1975-07-31,39.801824,-104.511608,
192473,2020-03-10 15:06:06,shopping_pos,8.64,Smith River,CA,41.9404,-124.1587,1930,1983-06-13,41.858121,-124.678803,
108352,2019-09-07 15:47:58,health_fitness,28.77,Hatch,UT,37.7175,-112.4777,258,1961-11-24,38.580196,-113.045768,
129756,2019-10-28 04:03:22,grocery_pos,97.41,Matthews,MO,36.7154,-89.6287,1019,1979-01-26,36.796512,-88.645365,
581,2019-01-02 15:46:34,home,81.56,American Fork,UT,40.3928,-111.7941,42384,1992-12-29,40.483537,-111.983798,
67979,2019-06-20 06:19:11,grocery_net,44.86,Athena,OR,45.8289,-118.4971,1302,1976-10-18,45.120503,-117.80405,
331518,2020-12-21 23:53:48,home,62.22,Lake Oswego,OR,45.4093,-122.6847,42817,1982-05-28,46.324275,-123.584312,F
5154,2019-01-17 04:42:31,shopping_pos,7.8,Tomales,CA,38.2427,-122.9145,337,1954-07-05,37.334308,-122.794864,
2595,2019-01-08 18:56:53,personal_care,77.97,Jordan Valley,OR,42.8801,-117.281,641,1993-11-24,43.767823,-117.020298,
129256,2019-10-27 09:58:40,gas_transport,58.59,Wheaton,MO,36.7651,-94.0492,760,1985-08-31,36.872659000000006,-94.905186,
